title,cast
"Max Payne","Beau Bridges"
"Max Payne","Ludacris"
"Max Payne","Chris O'Donnell"
"Max Payne","Donal Logue"
"Max Payne","Amaury Nolasco"
"Max Payne","Kate Burton"
"Max Payne","Olga Kurylenko"
"Sex Drive","Amanda Crew"
"Sex Drive","Clark Duke"
"Sex Drive","James Marsden"
"Sex Drive","Seth Green"
"Sex Drive","Katrina Bowden"
"Diary of a Nymphomaniac","Belén Fabra"
"Diary of a Nymphomaniac","Geraldine Chaplin"
"Diary of a Nymphomaniac","David Vert"
"Saw V","Tobin Bell"
"Saw V","Costas Mandylor"
"Saw V","Scott Patterson"
"Saw V","Betsy Russell"
"Saw V","Julie Benz"
"Saw V","Meagan Good"
"Saw V","Mark Rolston"
"Saw V","Greg Bryk"
"Changeling","Angelina Jolie"
"Changeling","John Malkovich"
"Changeling","Jeffrey Donovan"
"Changeling","Michael Kelly"
"Changeling","Colm Feore"
"Changeling","Jason Butler Harner"
"Changeling","Amy Ryan"
"Changeling","Denis O'Hare"
"Quantum of Solace","Daniel Craig"
"Quantum of Solace","Olga Kurylenko"
"Quantum of Solace","Mathieu Amalric"
"Quantum of Solace","Judi Dench"
"Quantum of Solace","Giancarlo Giannini"
"Quantum of Solace","Gemma Arterton"
"Quantum of Solace","Jeffrey Wright"
"Quantum of Solace","David Harbour"
"Quantum of Solace","Jesper Christensen"
"Madagascar: Escape 2 Africa","Ben Stiller"
"Madagascar: Escape 2 Africa","Chris Rock"
"Madagascar: Escape 2 Africa","David Schwimmer"
"Madagascar: Escape 2 Africa","Jada Pinkett Smith"
"Madagascar: Escape 2 Africa","Sacha Baron Cohen"
"Madagascar: Escape 2 Africa","Cedric the Entertainer"
"Madagascar: Escape 2 Africa","Andy Richter"
"Madagascar: Escape 2 Africa","Bernie Mac"
"Madagascar: Escape 2 Africa","Alec Baldwin"
"Barbie in A Christmas Carol","Kelly Sheridan"
"Barbie in A Christmas Carol","Morwenna Banks"
"Barbie in A Christmas Carol","Melissa Lyons"
"Barbie in A Christmas Carol","Kandyse McClure"
"Barbie in A Christmas Carol","Kathleen Barr"
"Barbie in A Christmas Carol","Pam Hyatt"
"Barbie in A Christmas Carol","Tabitha St. Germain"
"Kung Fu Panda: Secrets of the Furious Five","Jack Black"
"Kung Fu Panda: Secrets of the Furious Five","Dustin Hoffman"
"Kung Fu Panda: Secrets of the Furious Five","David Cross"
"Kung Fu Panda: Secrets of the Furious Five","Randall Duk Kim"
"Kung Fu Panda: Secrets of the Furious Five","Jim Cummings"
"Kung Fu Panda: Secrets of the Furious Five","Carol Kane"
"Slumdog Millionaire","Dev Patel"
"Slumdog Millionaire","Anil Kapoor"
"Slumdog Millionaire","Freida Pinto"
"Slumdog Millionaire","Irrfan Khan"
"Twilight","Kristen Stewart"
"Twilight","Robert Pattinson"
"Twilight","Billy Burke"
"Twilight","Peter Facinelli"
"Twilight","Elizabeth Reaser"
"Twilight","Cam Gigandet"
"Twilight","Ashley Greene"
"Twilight","Anna Kendrick"
"Twilight","Nikki Reed"
"Twilight","Taylor Lautner"
"Bolt","John Travolta"
"Bolt","Greg Germann"
"Bolt","Grey DeLisle"
"Bolt","Diedrich Bader"
"Bolt","Malcolm McDowell"
"Transporter 3","Jason Statham"
"Transporter 3","François Berléand"
"Transporter 3","Robert Knepper"
"Transporter 3","Jeroen Krabbé"
"Transporter 3","Ériq Ebouaney"
"Ong Bak 2","Tony Jaa"
"Ong Bak 2","Supakorn Kitsuwon"
"Yes Man","Jim Carrey"
"Yes Man","Zooey Deschanel"
"Yes Man","Bradley Cooper"
"Yes Man","John Michael Higgins"
"Yes Man","Rhys Darby"
"Yes Man","Terence Stamp"
"The Day the Earth Stood Still","Keanu Reeves"
"The Day the Earth Stood Still","Jennifer Connelly"
"The Day the Earth Stood Still","Jaden Smith"
"The Day the Earth Stood Still","Jon Hamm"
"The Day the Earth Stood Still","Kathy Bates"
"The Day the Earth Stood Still","John Cleese"
"The Day the Earth Stood Still","Kyle Chandler"
"The Day the Earth Stood Still","Robert Knepper"
"The Day the Earth Stood Still","Brandon T. Jackson"
"The Day the Earth Stood Still","James Hong"
"The Reader","Kate Winslet"
"The Reader","Ralph Fiennes"
"The Reader","David Kross"
"The Reader","Lena Olin"
"The Reader","Bruno Ganz"
"The Reader","Karoline Herfurth"
"The Reader","Alexandra Maria Lara"
"Inkheart","Brendan Fraser"
"Inkheart","Sienna Guillory"
"Inkheart","Andy Serkis"
"Inkheart","Paul Bettany"
"Inkheart","Jim Broadbent"
"Inkheart","Helen Mirren"
"Gran Torino","Clint Eastwood"
"Gran Torino","Geraldine Hughes"
"Gran Torino","Brian Howe"
"Gran Torino","John Carroll Lynch"
"Bleach the Movie: Fade to Black","Masakazu Morita"
"Bleach the Movie: Fade to Black","Fumiko Orikasa"
"Bleach the Movie: Fade to Black","Kentaro Ito"
"Bleach the Movie: Fade to Black","Hiroshi Kamiya"
"Bleach the Movie: Fade to Black","Mitsuaki Madono"
"Bleach the Movie: Fade to Black","Jun Fukuyama"
"Bleach the Movie: Fade to Black","Taro Yamaguchi"
"Bleach the Movie: Fade to Black","Takako Honda"
"Bleach the Movie: Fade to Black","Katsuyuki Konishi"
"Seven Pounds","Will Smith"
"Seven Pounds","Rosario Dawson"
"Seven Pounds","Woody Harrelson"
"Seven Pounds","Michael Ealy"
"Seven Pounds","Barry Pepper"
"Seven Pounds","Elpidia Carrillo"
"Seven Pounds","Bill Smitrovich"
"Seven Pounds","Joe Nuñez"
"Tomica Hero: Rescue Force Explosive Movie: Rescue the Mach Train!","Hiroaki Iwanaga"
"The Curious Case of Benjamin Button","Brad Pitt"
"The Curious Case of Benjamin Button","Cate Blanchett"
"The Curious Case of Benjamin Button","Taraji P. Henson"
"The Curious Case of Benjamin Button","Julia Ormond"
"The Curious Case of Benjamin Button","Jason Flemyng"
"The Curious Case of Benjamin Button","Mahershala Ali"
"The Curious Case of Benjamin Button","Jared Harris"
"The Curious Case of Benjamin Button","Elias Koteas"
"The Curious Case of Benjamin Button","Tilda Swinton"
"Valkyrie","Tom Cruise"
"Valkyrie","Kenneth Branagh"
"Valkyrie","Bill Nighy"
"Valkyrie","Terence Stamp"
"Valkyrie","Tom Wilkinson"
"Valkyrie","Kenneth Cranham"
"Valkyrie","Thomas Kretschmann"
"Valkyrie","Eddie Izzard"
"Valkyrie","Kevin McNally"
"Marley & Me","Owen Wilson"
"Marley & Me","Jennifer Aniston"
"Marley & Me","Eric Dane"
"Marley & Me","Kathleen Turner"
"Marley & Me","Alan Arkin"
"Marley & Me","Nathan Gamble"
"Marley & Me","Haley Bennett"
"Marley & Me","Ann Dowd"
"Defiance","Daniel Craig"
"Defiance","Liev Schreiber"
"Defiance","Jamie Bell"
"Defiance","Alexa Davalos"
"Defiance","Allan Corduner"
"Defiance","Mark Feuerstein"
"Defiance","Tomas Arana"
"Defiance","Jodhi May"
"The Killing Room","Nick Cannon"
"The Killing Room","Timothy Hutton"
"The Killing Room","Shea Whigham"
"The Killing Room","Chloë Sevigny"
"The Killing Room","Peter Stormare"
"The Killing Room","Clea DuVall"
"Underworld: Rise of the Lycans","Rhona Mitra"
"Underworld: Rise of the Lycans","Bill Nighy"
"Underworld: Rise of the Lycans","Michael Sheen"
"Underworld: Rise of the Lycans","Shane Brolly"
"Underworld: Rise of the Lycans","Steven Mackintosh"
"Coraline","Dakota Fanning"
"Coraline","Teri Hatcher"
"Coraline","Jennifer Saunders"
"Coraline","Dawn French"
"Coraline","Keith David"
"Coraline","Ian McShane"
"Coraline","John Hodgman"
"Coraline","Robert Bailey Jr."
"Confessions of a Shopaholic","Isla Fisher"
"Confessions of a Shopaholic","Hugh Dancy"
"Confessions of a Shopaholic","Krysten Ritter"
"Confessions of a Shopaholic","Joan Cusack"
"Confessions of a Shopaholic","John Goodman"
"Confessions of a Shopaholic","John Lithgow"
"Confessions of a Shopaholic","Kristin Scott Thomas"
"Confessions of a Shopaholic","Fred Armisen"
"Confessions of a Shopaholic","Leslie Bibb"
"He's Just Not That Into You","Ginnifer Goodwin"
"He's Just Not That Into You","Justin Long"
"He's Just Not That Into You","Bradley Cooper"
"He's Just Not That Into You","Scarlett Johansson"
"He's Just Not That Into You","Jennifer Connelly"
"He's Just Not That Into You","Jennifer Aniston"
"He's Just Not That Into You","Ben Affleck"
"He's Just Not That Into You","Drew Barrymore"
"He's Just Not That Into You","Kris Kristofferson"
"Blood and Bone","Michael Jai White"
"Blood and Bone","Julian Sands"
"Blood and Bone","Eamonn Walker"
"Blood and Bone","Dante Basco"
"Blood and Bone","Gina Carano"
"Blood and Bone","Bob Sapp"
"Blood and Bone","Ron Yuan"
"Friday the 13th","Jared Padalecki"
"Friday the 13th","Danielle Panabaker"
"Friday the 13th","Travis Van Winkle"
"Friday the 13th","Aaron Yoo"
"Friday the 13th","Arlen Escarpeta"
"Friday the 13th","Jonathan Sadowski"
"Friday the 13th","Ryan Hansen"
"Street Fighter IV: The Ties That Bind","Hiroki Takahashi"
"Street Fighter IV: The Ties That Bind","Fumiko Orikasa"
"Street Fighter IV: The Ties That Bind","Hiroki Yasumoto"
"Street Fighter IV: The Ties That Bind","Misato Fukuen"
"Street Fighter IV: The Ties That Bind","Mie Sonozaki"
"Street Fighter IV: The Ties That Bind","Toru Okawa"
"Street Fighter IV: The Ties That Bind","Miyuki Sawashiro"
"Screamers: The Hunting","Gina Holden"
"Screamers: The Hunting","Lance Henriksen"
"Screamers: The Hunting","Greg Bryk"
"Watchmen","Malin Åkerman"
"Watchmen","Patrick Wilson"
"Watchmen","Billy Crudup"
"Watchmen","Matthew Goode"
"Watchmen","Jackie Earle Haley"
"Watchmen","Jeffrey Dean Morgan"
"Watchmen","Carla Gugino"
"Watchmen","Stephen McHattie"
"17 Again","Zac Efron"
"17 Again","Leslie Mann"
"17 Again","Thomas Lennon"
"17 Again","Hunter Parrish"
"Drag Me to Hell","Alison Lohman"
"Drag Me to Hell","Justin Long"
"Drag Me to Hell","Dileep Rao"
"Drag Me to Hell","David Paymer"
"Drag Me to Hell","Adriana Barraza"
"Drag Me to Hell","Chelcie Ross"
"Drag Me to Hell","Reggie Lee"
"Drag Me to Hell","Molly Cheek"
"Monsters vs Aliens","Reese Witherspoon"
"Monsters vs Aliens","Seth Rogen"
"Monsters vs Aliens","Hugh Laurie"
"Monsters vs Aliens","Will Arnett"
"Monsters vs Aliens","Kiefer Sutherland"
"Monsters vs Aliens","Rainn Wilson"
"Monsters vs Aliens","Paul Rudd"
"Monsters vs Aliens","Jeffrey Tambor"
"Knowing","Nicolas Cage"
"Knowing","Rose Byrne"
"Knowing","Chandler Canterbury"
"Knowing","Ben Mendelsohn"
"Knowing","Alethea McGrath"
"Kurt Turns Evil","Atle Antonsen"
"Kurt Turns Evil","Aksel Hennie"
"Crank: High Voltage","Jason Statham"
"Crank: High Voltage","Amy Smart"
"Crank: High Voltage","David Carradine"
"Crank: High Voltage","Dwight Yoakam"
"Crank: High Voltage","Bai Ling"
"Crank: High Voltage","Clifton Collins Jr."
"Crank: High Voltage","Jose Pablo Cantillo"
"Crank: High Voltage","Efren Ramirez"
"Crank: High Voltage","Reno Wilson"
"Into the Blue 2: The Reef","Laura Vandervoort"
"Into the Blue 2: The Reef","Mircea Monroe"
"Star Trek","Chris Pine"
"Star Trek","Zachary Quinto"
"Star Trek","Leonard Nimoy"
"Star Trek","Bruce Greenwood"
"Star Trek","Eric Bana"
"Star Trek","Karl Urban"
"Star Trek","Zoe Saldaña"
"Star Trek","John Cho"
"Star Trek","Simon Pegg"
"Star Trek","Anton Yelchin"
"Angels & Demons","Tom Hanks"
"Angels & Demons","Ewan McGregor"
"Angels & Demons","Stellan Skarsgård"
"Angels & Demons","Pierfrancesco Favino"
"Angels & Demons","Armin Mueller-Stahl"
"Angels & Demons","Thure Lindhardt"
"Terminator Salvation","Christian Bale"
"Terminator Salvation","Sam Worthington"
"Terminator Salvation","Helena Bonham Carter"
"Terminator Salvation","Anton Yelchin"
"Terminator Salvation","Common"
"Terminator Salvation","Zach McGowan"
"Terminator Salvation","Bryce Dallas Howard"
"Terminator Salvation","Michael Ironside"
"Night at the Museum: Battle of the Smithsonian","Ben Stiller"
"Night at the Museum: Battle of the Smithsonian","Amy Adams"
"Night at the Museum: Battle of the Smithsonian","Owen Wilson"
"Night at the Museum: Battle of the Smithsonian","Hank Azaria"
"Night at the Museum: Battle of the Smithsonian","Robin Williams"
"Night at the Museum: Battle of the Smithsonian","Steve Coogan"
"Night at the Museum: Battle of the Smithsonian","Ricky Gervais"
"Night at the Museum: Battle of the Smithsonian","Bill Hader"
"Up","Ed Asner"
"Up","Christopher Plummer"
"Up","Bob Peterson"
"Up","Delroy Lindo"
"Up","John Ratzenberger"
"The Proposal","Sandra Bullock"
"The Proposal","Ryan Reynolds"
"The Proposal","Malin Åkerman"
"The Proposal","Craig T. Nelson"
"The Proposal","Mary Steenburgen"
"The Proposal","Betty White"
"The Proposal","Denis O'Hare"
"The Proposal","Oscar Nunez"
"The Proposal","Aasif Mandvi"
"The Hangover","Bradley Cooper"
"The Hangover","Ed Helms"
"The Hangover","Zach Galifianakis"
"The Hangover","Justin Bartha"
"The Hangover","Heather Graham"
"The Hangover","Sasha Barrese"
"The Hangover","Jeffrey Tambor"
"The Hangover","Ken Jeong"
"The Hangover","Rachael Harris"
"The Hangover","Mike Tyson"
"Hachi: A Dog's Tale","Richard Gere"
"Hachi: A Dog's Tale","Joan Allen"
"Hachi: A Dog's Tale","Cary-Hiroyuki Tagawa"
"Hachi: A Dog's Tale","Jason Alexander"
"Moon","Sam Rockwell"
"Moon","Kevin Spacey"
"Moon","Kaya Scodelario"
"Moon","Benedict Wong"
"Moon","Matt Berry"
"Ice Age: Dawn of the Dinosaurs","Ray Romano"
"Ice Age: Dawn of the Dinosaurs","John Leguizamo"
"Ice Age: Dawn of the Dinosaurs","Denis Leary"
"Ice Age: Dawn of the Dinosaurs","Queen Latifah"
"Ice Age: Dawn of the Dinosaurs","Simon Pegg"
"Ice Age: Dawn of the Dinosaurs","Seann William Scott"
"Ice Age: Dawn of the Dinosaurs","Josh Peck"
"Ice Age: Dawn of the Dinosaurs","Chris Wedge"
"Ice Age: Dawn of the Dinosaurs","Kristen Wiig"
"Harry Potter and the Half-Blood Prince","Daniel Radcliffe"
"Harry Potter and the Half-Blood Prince","Rupert Grint"
"Harry Potter and the Half-Blood Prince","Emma Watson"
"Harry Potter and the Half-Blood Prince","Jim Broadbent"
"Harry Potter and the Half-Blood Prince","Michael Gambon"
"Harry Potter and the Half-Blood Prince","Tom Felton"
"Harry Potter and the Half-Blood Prince","Alan Rickman"
"Harry Potter and the Half-Blood Prince","Bonnie Wright"
"Harry Potter and the Half-Blood Prince","Evanna Lynch"
"(500) Days of Summer","Joseph Gordon-Levitt"
"(500) Days of Summer","Zooey Deschanel"
"(500) Days of Summer","Chloë Grace Moretz"
"(500) Days of Summer","Matthew Gray Gubler"
"(500) Days of Summer","Clark Gregg"
"Tidal Wave","Sol Kyung-gu"
"Tidal Wave","Song Jae-ho"
"Tidal Wave","Kim You-jung"
"Orphan","Vera Farmiga"
"Orphan","Peter Sarsgaard"
"Orphan","Isabelle Fuhrman"
"Orphan","CCH Pounder"
"Orphan","Jimmy Bennett"
"Orphan","Margo Martindale"
"Orphan","Karel Roden"
"Naruto Shippuden the Movie: The Will of Fire","Junko Takeuchi"
"Naruto Shippuden the Movie: The Will of Fire","Chie Nakamura"
"Naruto Shippuden the Movie: The Will of Fire","Kazuhiko Inoue"
"Naruto Shippuden the Movie: The Will of Fire","Satoshi Hino"
"Naruto Shippuden the Movie: The Will of Fire","Showtaro Morikubo"
"Naruto Shippuden the Movie: The Will of Fire","Kentaro Ito"
"Naruto Shippuden the Movie: The Will of Fire","Yōichi Masukawa"
"G.I. Joe: The Rise of Cobra","Adewale Akinnuoye-Agbaje"
"G.I. Joe: The Rise of Cobra","Christopher Eccleston"
"G.I. Joe: The Rise of Cobra","Lee Byung-hun"
"G.I. Joe: The Rise of Cobra","Joseph Gordon-Levitt"
"G.I. Joe: The Rise of Cobra","Sienna Miller"
"G.I. Joe: The Rise of Cobra","Rachel Nichols"
"G.I. Joe: The Rise of Cobra","Ray Park"
"G.I. Joe: The Rise of Cobra","Jonathan Pryce"
"G.I. Joe: The Rise of Cobra","Saïd Taghmaoui"
"G.I. Joe: The Rise of Cobra","Channing Tatum"
"District 9","Sharlto Copley"
"District 9","Greg Melvill-Smith"
"What's Up: Balloon to the Rescue!","Luciana Minei"
"What's Up: Balloon to the Rescue!","Francisco Freitas"
"Inglourious Basterds","Brad Pitt"
"Inglourious Basterds","Mélanie Laurent"
"Inglourious Basterds","Christoph Waltz"
"Inglourious Basterds","Michael Fassbender"
"Inglourious Basterds","Diane Kruger"
"Inglourious Basterds","Daniel Brühl"
"Inglourious Basterds","Til Schweiger"
"9","Elijah Wood"
"9","Jennifer Connelly"
"9","Crispin Glover"
"9","Christopher Plummer"
"9","Martin Landau"
"9","John C. Reilly"
"9","Fred Tatasciore"
"9","Tom Kane"
"The Final Destination","Mykelti Williamson"
"The Final Destination","Stephanie Honoré"
"Halloween II","Scout Taylor-Compton"
"Halloween II","Malcolm McDowell"
"Halloween II","Brad Dourif"
"Halloween II","Danielle Harris"
"Halloween II","Caroline Williams"
"Tinker Bell and the Lost Treasure","Mae Whitman"
"Tinker Bell and the Lost Treasure","Jesse McCartney"
"Tinker Bell and the Lost Treasure","Jane Horrocks"
"Tinker Bell and the Lost Treasure","Lucy Liu"
"Tinker Bell and the Lost Treasure","Raven-Symoné"
"Tinker Bell and the Lost Treasure","Kristin Chenoweth"
"Tinker Bell and the Lost Treasure","Angela Bartys"
"Tinker Bell and the Lost Treasure","Anjelica Huston"
"Tinker Bell and the Lost Treasure","Rob Paulsen"
"Tinker Bell and the Lost Treasure","Jeff Bennett"
"I Can Do Bad All By Myself","Tyler Perry"
"I Can Do Bad All By Myself","Taraji P. Henson"
"I Can Do Bad All By Myself","Mary J. Blige"
"I Can Do Bad All By Myself","Brian J. White"
"Scooby-Doo! The Mystery Begins","Nick Palatas"
"Scooby-Doo! The Mystery Begins","Hayley Kiyoko"
"Scooby-Doo! The Mystery Begins","Frank Welker"
"Scooby-Doo! The Mystery Begins","Robbie Amell"
"Scooby-Doo! The Mystery Begins","Kate Melton"
"Scooby-Doo! The Mystery Begins","Garry Chalk"
"Cloudy with a Chance of Meatballs","Bill Hader"
"Cloudy with a Chance of Meatballs","Anna Faris"
"Cloudy with a Chance of Meatballs","James Caan"
"Cloudy with a Chance of Meatballs","Neil Patrick Harris"
"Cloudy with a Chance of Meatballs","Andy Samberg"
"Cloudy with a Chance of Meatballs","Benjamin Bratt"
"Jennifer's Body","Megan Fox"
"Jennifer's Body","Amanda Seyfried"
"Jennifer's Body","Johnny Simmons"
"Jennifer's Body","Adam Brody"
"Jennifer's Body","J.K. Simmons"
"Jennifer's Body","Amy Sedaris"
"Jennifer's Body","Kyle Gallner"
"Jennifer's Body","Chris Pratt"
"Ninja Assassin","Naomie Harris"
"Ninja Assassin","Sung Kang"
"Ninja Assassin","Randall Duk Kim"
"Ninja Assassin","Rick Yune"
"Ninja Assassin","Ben Miles"
"Ninja Assassin","Linh-Dan Pham"
"Splice","Adrien Brody"
"Splice","David Hewlett"
"Splice","Amanda Brugel"
"Zombieland","Woody Harrelson"
"Zombieland","Jesse Eisenberg"
"Zombieland","Emma Stone"
"Zombieland","Abigail Breslin"
"Zombieland","Amber Heard"
"Zombieland","Bill Murray"
"2012","John Cusack"
"2012","Chiwetel Ejiofor"
"2012","Amanda Peet"
"2012","Oliver Platt"
"2012","Thandiwe Newton"
"2012","George Segal"
"2012","Danny Glover"
"2012","Woody Harrelson"
"Law Abiding Citizen","Jamie Foxx"
"Law Abiding Citizen","Gerard Butler"
"Law Abiding Citizen","Colm Meaney"
"Law Abiding Citizen","Bruce McGill"
"Law Abiding Citizen","Leslie Bibb"
"Law Abiding Citizen","Michael Irby"
"Law Abiding Citizen","Gregory Itzin"
"Law Abiding Citizen","Regina Hall"
"Wrong Turn 3: Left for Dead","Janet Montgomery"
"Wrong Turn 3: Left for Dead","Todd Jensen"
"Wrong Turn 3: Left for Dead","Jake Curran"
"Saw VI","Tobin Bell"
"Saw VI","Costas Mandylor"
"Saw VI","Mark Rolston"
"Saw VI","Betsy Russell"
"Saw VI","Shawnee Smith"
"Saw VI","Peter Outerbridge"
"Saw VI","Athena Karkanis"
"Fantastic Mr. Fox","George Clooney"
"Fantastic Mr. Fox","Meryl Streep"
"Fantastic Mr. Fox","Jason Schwartzman"
"Fantastic Mr. Fox","Bill Murray"
"Fantastic Mr. Fox","Willem Dafoe"
"Fantastic Mr. Fox","Owen Wilson"
"Fantastic Mr. Fox","Michael Gambon"
"Fantastic Mr. Fox","Jarvis Cocker"
"The Human Centipede (First Sequence)","Ashlynn Yennie"
"North by Northwest: One for the Ages","Guillermo del Toro"
"North by Northwest: One for the Ages","Cary Grant"
"North by Northwest: One for the Ages","Eva Marie Saint"
"A Christmas Carol","Jim Carrey"
"A Christmas Carol","Gary Oldman"
"A Christmas Carol","Colin Firth"
"A Christmas Carol","Robin Wright"
"A Christmas Carol","Cary Elwes"
"A Christmas Carol","Bob Hoskins"
"A Christmas Carol","Daryl Sabara"
"A Christmas Carol","Steve Valentine"
"After.Life","Christina Ricci"
"After.Life","Liam Neeson"
"After.Life","Justin Long"
"After.Life","Chandler Canterbury"
"After.Life","Celia Weston"
"The Twilight Saga: New Moon","Kristen Stewart"
"The Twilight Saga: New Moon","Robert Pattinson"
"The Twilight Saga: New Moon","Taylor Lautner"
"The Twilight Saga: New Moon","Dakota Fanning"
"The Twilight Saga: New Moon","Michael Sheen"
"The Twilight Saga: New Moon","Ashley Greene"
"The Twilight Saga: New Moon","Rachelle Lefevre"
"The Twilight Saga: New Moon","Billy Burke"
"The Twilight Saga: New Moon","Peter Facinelli"
"The Twilight Saga: New Moon","Elizabeth Reaser"
"The Blind Side","Sandra Bullock"
"The Blind Side","Tim McGraw"
"The Blind Side","Quinton Aaron"
"The Blind Side","Jae Head"
"The Blind Side","Lily Collins"
"The Blind Side","Kim Dickens"
"The Blind Side","Kathy Bates"
"Brothers","Tobey Maguire"
"Brothers","Natalie Portman"
"Brothers","Jake Gyllenhaal"
"Brothers","Bailee Madison"
"Brothers","Mare Winningham"
"Brothers","Clifton Collins Jr."
"Brothers","Carey Mulligan"
"The Princess and the Frog","Anika Noni Rose"
"The Princess and the Frog","Jim Cummings"
"The Princess and the Frog","Keith David"
"The Princess and the Frog","Jenifer Lewis"
"The Princess and the Frog","John Goodman"
"Avatar","Sam Worthington"
"Avatar","Zoe Saldaña"
"Avatar","Stephen Lang"
"Avatar","Michelle Rodriguez"
"Avatar","Sigourney Weaver"
"Avatar","Giovanni Ribisi"
"Avatar","Joel David Moore"
"Avatar","CCH Pounder"
"Avatar","Wes Studi"
"Avatar","Laz Alonso"
"Alvin and the Chipmunks: The Squeakquel","Zachary Levi"
"Alvin and the Chipmunks: The Squeakquel","David Cross"
"Alvin and the Chipmunks: The Squeakquel","Jason Lee"
"Alvin and the Chipmunks: The Squeakquel","Justin Long"
"Alvin and the Chipmunks: The Squeakquel","Matthew Gray Gubler"
"Alvin and the Chipmunks: The Squeakquel","Jesse McCartney"
"Alvin and the Chipmunks: The Squeakquel","Amy Poehler"
"Alvin and the Chipmunks: The Squeakquel","Anna Faris"
"Alvin and the Chipmunks: The Squeakquel","Christina Applegate"
"Alvin and the Chipmunks: The Squeakquel","Wendie Malick"
"American Pie Presents: The Book of Love","Curtis Armstrong"
"3 Idiots","Aamir Khan"
"3 Idiots","Boman Irani"
"The Lovely Bones","Saoirse Ronan"
"The Lovely Bones","Mark Wahlberg"
"The Lovely Bones","Rachel Weisz"
"The Lovely Bones","Susan Sarandon"
"The Lovely Bones","Stanley Tucci"
"The Lovely Bones","Michael Imperioli"
"The Lovely Bones","Reece Ritchie"
"The Book of Eli","Denzel Washington"
"The Book of Eli","Gary Oldman"
"The Book of Eli","Mila Kunis"
"The Book of Eli","Ray Stevenson"
"The Book of Eli","Jennifer Beals"
"The Book of Eli","Michael Gambon"
"The Book of Eli","Frances de la Tour"
"Legion","Paul Bettany"
"Legion","Dennis Quaid"
"Legion","Kate Walsh"
"Legion","Tyrese Gibson"
"Legion","Adrianne Palicki"
"Legion","Charles S. Dutton"
"Legion","Jon Tenney"
"Legion","Kevin Durand"
"Yu-Gi-Oh!: Bonds Beyond Time","Hiromi Tsuru"
"Yu-Gi-Oh!: Bonds Beyond Time","Kappei Yamaguchi"
"Barbie in A Mermaid Tale","Kelly Sheridan"
"Barbie in A Mermaid Tale","Kathleen Barr"
"Barbie in A Mermaid Tale","Tabitha St. Germain"
"Barbie in A Mermaid Tale","Maryke Hendrikse"
"Barbie in A Mermaid Tale","Garry Chalk"
"Barbie in A Mermaid Tale","Nicole Oliver"
"Meteor Storm","Kari Matchett"
"Meteor Storm","Brett Dier"
"Meteor Storm","Eric Johnson"
"Percy Jackson & the Olympians: The Lightning Thief","Logan Lerman"
"Percy Jackson & the Olympians: The Lightning Thief","Brandon T. Jackson"
"Percy Jackson & the Olympians: The Lightning Thief","Alexandra Daddario"
"Percy Jackson & the Olympians: The Lightning Thief","Jake Abel"
"Percy Jackson & the Olympians: The Lightning Thief","Pierce Brosnan"
"Percy Jackson & the Olympians: The Lightning Thief","Sean Bean"
"Percy Jackson & the Olympians: The Lightning Thief","Steve Coogan"
"Percy Jackson & the Olympians: The Lightning Thief","Rosario Dawson"
"Percy Jackson & the Olympians: The Lightning Thief","Catherine Keener"
"The Wolfman","Benicio del Toro"
"The Wolfman","Anthony Hopkins"
"The Wolfman","Emily Blunt"
"The Wolfman","Hugo Weaving"
"The Wolfman","Geraldine Chaplin"
"The Wolfman","Art Malik"
"The Wolfman","David Schofield"
"Shutter Island","Leonardo DiCaprio"
"Shutter Island","Mark Ruffalo"
"Shutter Island","Ben Kingsley"
"Shutter Island","Michelle Williams"
"Shutter Island","Emily Mortimer"
"Shutter Island","Patricia Clarkson"
"Shutter Island","Max von Sydow"
"Shutter Island","Jackie Earle Haley"
"Shutter Island","John Carroll Lynch"
"Shutter Island","Ted Levine"
"The Killing Jar","Michael Madsen"
"The Killing Jar","Harold Perrineau"
"The Killing Jar","Danny Trejo"
"The Killing Jar","Kevin Gage"
"The Killing Jar","Lew Temple"
"Justice League: Crisis on Two Earths","James Woods"
"Justice League: Crisis on Two Earths","Vanessa Marshall"
"Justice League: Crisis on Two Earths","Chris Noth"
"Justice League: Crisis on Two Earths","Brian Bloom"
"Justice League: Crisis on Two Earths","Nolan North"
"Justice League: Crisis on Two Earths","Josh Keaton"
"The Crazies","Timothy Olyphant"
"The Crazies","Radha Mitchell"
"The Crazies","Joe Anderson"
"The Crazies","Danielle Panabaker"
"The Crazies","Glenn Morshower"
"Alice in Wonderland","Mia Wasikowska"
"Alice in Wonderland","Johnny Depp"
"Alice in Wonderland","Anne Hathaway"
"Alice in Wonderland","Helena Bonham Carter"
"Alice in Wonderland","Crispin Glover"
"Alice in Wonderland","Alan Rickman"
"Alice in Wonderland","Stephen Fry"
"Alice in Wonderland","Michael Sheen"
"Alice in Wonderland","Timothy Spall"
"She's Out of My League","Jay Baruchel"
"She's Out of My League","Alice Eve"
"She's Out of My League","T.J. Miller"
"She's Out of My League","Mike Vogel"
"She's Out of My League","Krysten Ritter"
"Remember Me","Robert Pattinson"
"Remember Me","Emilie de Ravin"
"Remember Me","Pierce Brosnan"
"Remember Me","Lena Olin"
"Remember Me","Chris Cooper"
"Remember Me","Martha Plimpton"
"Remember Me","Tate Ellington"
"Remember Me","Kate Burton"
"How to Train Your Dragon","Jay Baruchel"
